Name,Location,Categories,Rating,Price,Reviews
BeeZr,Huntsville,Gastropubs,4.3,,75
Fresko Grille Modern Mediterranean,Huntsville,Mediterranean,4.4,$$,102
Blue Plate Cafe,Huntsville,Southern,4.0,$$,290
Jack Brown's Beer & Burger Joint - Huntsville,Huntsville,Burgers,4.4,$$,230
The Standard Social Market,Huntsville,Breakfast & Brunch,3.9,$$,62
Parlor Doughnuts,Huntsville,Coffee & Tea,4.3,,50
Betty Mae's,Huntsville,Soul Food,4.4,$$,134
Ale's Kitchen,Huntsville,Burgers,4.2,$$,52
1892 East Restaurant & Tavern,Huntsville,New American,4.0,$$,282
Revivalist,Huntsville,New American,3.8,,67
The Bottle,Huntsville,New American,4.2,$$$,195
New Orleans Lunchbox Restaurant,Huntsville,Barbeque,4.3,$$,57
The R,Huntsville,Breakfast & Brunch,4.3,$$,6
Stone Age Korean BBQ,Huntsville,Korean,4.0,,163
Earth and Stone Wood Fired Pizza,Huntsville,Pizza,4.1,$$,200
Charlie Foster’s Espresso Wine Bar,Huntsville,Coffee & Tea,4.3,$,34
Wok’s Up Chinese Food,Huntsville,Chinese,3.8,,19
Bonchon,Huntsville,Chicken Wings,3.3,,27
House of Kabob,Huntsville,Persian/Iranian,4.6,$$,72
Mozza Pizza Restaurant,Huntsville,Pizza,4.3,$$,67
Commerce Kitchen,Huntsville,American,3.7,$$,353
La Esquina Cocina,Huntsville,Mexican,4.1,$$,125
116 Noble,Huntsville,Supper Clubs,5.0,,13
Catch 25 Seafood & Brewery,Huntsville,Seafood,3.5,,42
The Brass Tap,Huntsville,New American,4.2,$$,117
Hops n Guac,HUNTSVILLE,New Mexican Cuisine,3.9,$$,116
Kamado Ramen,Huntsville,Ramen,4.2,$$,97
Big Spring Cafe,Huntsville,Burgers,4.1,$,53
Taqueria El Cazador,Huntsville,Mexican,4.4,$,175
Condado Tacos,Huntsville,Tacos,3.6,,60
Farm Burger Huntsville,Huntsville,Burgers,4.0,$$,340
Hildegard's German Cuisine,Huntsville,German,4.3,$$,233
Viet Cuisine,Huntsville,Vietnamese,4.5,$$,305
Back Forty Beer Company,Huntsville,Breweries,3.9,,23
Table 28,Little Rock,New American,4.3,$$$,228
Big Orange,Little Rock,Burgers,4.2,$$,711
Petit & Keet,Little Rock,New American,4.4,$$,235
Red Bowl,Little Rock,Dim Sum,4.1,,41
The Pantry Restaurant,Little Rock,Bars,4.5,$$,495
Cafe Bossa Nova,Little Rock,Brazilian,4.4,$$,199
Sauced Bar and Oven,Little Rock,Pizza,3.8,$$,188
Maximo Cocina Mexicana,Little Rock,Mexican,3.8,,4
George's Little Rock,Little Rock,Italian,3.6,,32
Ciao Baci,Little Rock,Tapas Bars,4.4,$$,121
Layla's Market,Little Rock,Greek,4.5,$,276
Copper Mule Table and Tap,Little Rock,Cajun/Creole,3.9,,15
Bobby's Country Cookin',Little Rock,Southern,4.3,$,57
Taqueria El Palenque,Little Rock,Mexican,4.4,$,209
Heights Taco & Tamale,Little Rock,Tex-Mex,4.0,$$,398
Aji Ramen Bar,Little Rock,Ramen,4.2,$$,146
Boulevard Bread Company,Little Rock,Cafes,3.9,$$,109
La Pasadita Mexican Restaurant,Little Rock,Mexican,4.6,,18
El K’iche’ Restaurant,Little Rock,Latin American,3.0,,1
ZAZA Fine Salad + Wood-Oven Pizza,Little Rock,Pizza,4.2,$$,341
Delicious Temptations,Little Rock,Sandwiches,3.9,$,231
Kemuri,Little Rock,Sushi Bars,4.4,$$,281
The Pantry Crest,Little Rock,German,4.6,$$,102
Milford Track,Little Rock,Sandwiches,4.6,$,77
Trio's Restaurant,Little Rock,New American,4.1,$$,98
Red Door,Little Rock,New American,3.4,$$,226
The Butcher Shop Steakhouse,Little Rock,Steakhouses,3.6,$$$,148
HAM Market,Little Rock,Sandwiches,4.8,$$,16
Murry's Dinner Playhouse,Little Rock,Dinner Theater,4.1,$$$,33
Heights Corner Market and Walter's Green Room,Little Rock,New American,4.3,$$$,16
Potbelly Sandwich Shop,Little Rock,Sandwiches,3.8,$,52
La Terraza Rum & Lounge,Little Rock,Mediterranean,4.1,$$,118
Certified Pies,Little Rock,Pizza,4.0,,47
Bleu Monkey Grill,Little Rock,American,3.6,,13
Hill Station,Little Rock,Bars,3.5,$$,48
Kebab House,Little Rock,Mediterranean,4.6,$,166
Mr. Chen's Authentic Chinese Cooking,Little Rock,Chinese,4.1,$$,218
Al Seraj Mediterranean Restaurant & Market,Little Rock,Mediterranean,4.5,$$,81
Leo's Greek Castle,Little Rock,Greek,3.7,$,73
Count Porkula BBQ,Little Rock,Barbeque,4.0,,49
Cafe 201,Little Rock,Cafes,4.5,$,2
Star of India Restaurant,Little Rock,Indian,4.5,$$,382
SO Restaurant-Bar,Little Rock,New American,3.5,$$$,92
Fantastic China,Little Rock,Chinese,3.8,$$,117
Kontiki African Restaurant,Little Rock,African,4.5,,33
Cheers In the Heights,Little Rock,American,4.3,$$,80
Jimmy's Serious Sandwiches,Little Rock,Sandwiches,4.0,$,49
Homer's Kitchen Table,Little Rock,American,3.2,$$,103
Curry House Indian Kitchen,Little Rock,Indian,4.9,,13
The Purple Cow Restaurant,Little Rock,Diners,3.7,$,99
Magnolias,Charleston,Southern,4.4,$$$,3024
The Darling,Charleston,Seafood,4.4,$$,1449
Poogan's Porch,Charleston,Southern,4.1,$$,4550
The Peacock,Charleston,Breakfast & Brunch,4.6,,135
Frannie & The Fox,Charleston,Italian,4.3,$$,418
FIG,Charleston,New American,4.5,$$$,1544
167 Raw Oyster Bar - Charleston,Charleston,Seafood,4.7,$$$,3021
Husk,Charleston,American,4.0,$$$,3309
Church and Union Charleston,Charleston,New American,4.1,$$,1844
Stella's,Charleston,Greek,4.6,$$,543
The Ordinary,Charleston,Seafood,4.3,$$$,792
Island Provisions Charleston,Charleston,Breakfast & Brunch,4.6,,52
Slightly North of Broad,Charleston,New American,4.4,$$$,1809
Chubby Fish,Charleston,Seafood,4.7,,322
Fleet Landing Restaurant,Charleston,Seafood,4.2,$$,3309
Vern's,Charleston,New American,4.6,,114
AZUR,Charleston,Tapas/Small Plates,4.7,,58
Basic Kitchen,Charleston,New American,4.4,$$,521
Marbled & Fin,Charleston,Seafood,4.5,,20
Millers All Day,Charleston,Breakfast & Brunch,4.4,$$,1185
Southbound,Charleston,Cocktail Bars,4.3,,132
R Kitchen,Charleston,New American,4.6,$$,505
Sorghum & Salt,Charleston,Tapas/Small Plates,4.6,$$,432
Bedford Falls - Charleston,Charleston,New American,4.4,,80
Big Bad Breakfast - Charleston,Charleston,Breakfast & Brunch,4.3,$$,712
Prohibition,Charleston,Cocktail Bars,4.1,$$,1179
Halls Chophouse,Charleston,Steakhouses,4.7,$$$$,2933
Chasing Sage,Charleston,New American,4.5,,112
Berkeley’s,Charleston,Bars,4.6,$$,89
MESU,Charleston,Mexican,4.3,$$$,344
Little Palm,Charleston,Cocktail Bars,4.2,$$,114
Mario's Italian Ristorante,Charleston,Pizza,4.6,$$,258
Makan,Charleston,Malaysian,4.8,,4
Pearlz,Charleston,Seafood,4.4,$$,1396
Swig & Swine,Charleston,Barbeque,4.5,$$,1670
High Cotton,Charleston,Cocktail Bars,4.3,$$$,1179
Leon's Fine Poultry and Oysters,Charleston,Southern,4.2,$$,1296
Sorelle,Charleston,Italian,4.2,,192
The Glass Onion,Charleston,Southern,4.3,$$,723
The Matador - Charleston,Charleston,Mexican,4.4,$$,89
Xiao Bao Biscuit,Charleston,Asian Fusion,4.0,$$,849
The Daily,Charleston,Coffee & Tea,4.3,$$,417
Heavy’s Barburger,Charleston,Burgers,4.7,$$,154
Cru Café,Charleston,New American,4.5,$$,1201
Lewis Barbecue,Charleston,Barbeque,4.7,$$,2031
Indaco,Charleston,Italian,4.3,$$$,695
Konnichiwa Charleston ,Charleston,Japanese,4.4,$$,71
Babas on Cannon,Charleston,Cafes,4.6,,168
Bearcat,Charleston,New American,4.4,,24
The Select,Charleston,New American,4.8,,4
Gallier Restaurant & Oyster Bar,New Orleans,Seafood,4.3,$$,1565
Café Amelie,New Orleans,Breakfast & Brunch,4.3,$$,3096
Commander's Palace,New Orleans,Cajun/Creole,4.3,$$$,5763
Oceana Grill,New Orleans,Cajun/Creole,4.2,$$,9484
Cochon,New Orleans,Cajun/Creole,4.2,$$,5106
The Will & The Way,New Orleans,Cocktail Bars,4.4,$$,254
Mamou,New Orleans,Brasseries,4.6,$$$,73
Mambo's,New Orleans,Cajun/Creole,4.2,$$,2522
Zesty Creole,New Orleans,Cajun/Creole,4.6,$$,351
Sofia,New Orleans,Italian,4.5,$$,510
Ruby Slipper CBD,New Orleans,Breakfast & Brunch,4.3,$$,6977
Willa Jean,New Orleans,Bakeries,4.3,$$,2466
Cochon Butcher,New Orleans,Sandwiches,4.5,$$,4498
Luzianne Cafe,New Orleans,Breakfast & Brunch,4.3,$$,168
Irene's,New Orleans,Italian,4.4,$$$,1157
Pêche,New Orleans,Seafood,4.3,$$$,2477
Luke,New Orleans,French,4.2,$$$,5182
Bésame,New Orleans,Tapas/Small Plates,4.7,$$,220
Acme Oyster House,New Orleans,Seafood,4.1,$$,8714
Restaurant Rebirth,New Orleans,Cajun/Creole,4.6,$$$,656
Evangeline,New Orleans,Cajun/Creole,4.2,$$,891
Muriel's Jackson Square,New Orleans,Cajun/Creole,4.3,$$$,2413
Brennan's,New Orleans,Cajun/Creole,4.2,$$$,2047
GW Fins,New Orleans,Seafood,4.6,$$$,3145
Napoleon House,New Orleans,American,4.1,$$,1775
Rampart Treehouse,New Orleans,Pizza,4.3,,132
Two Chicks Cafe,New Orleans,Breakfast & Brunch,4.5,$$,1153
Maypop Restaurant,New Orleans,New American,4.4,$$$,772
Lufu Nola,New Orleans,Indian,4.7,,128
Two Chicks Café - CBD,New Orleans,Breakfast & Brunch,4.7,$$,646
Cafe Sbisa,New Orleans,Southern,4.4,$$,663
Carmo,New Orleans,Seafood,4.4,$$,1425
